Page,ETS(clicks)
Alan_Rickman_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,N)>"
Alan_Thicke_en.wikipedia.org_all-access_all-agents,"<ETS(A,N,N)>"
Alan_Thicke_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Alan_Tudyk_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Alan_Turing_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Alan_Turing_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Alaska_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Albania_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Albania_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Albert_Einstein_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Albert_Einstein_es.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Albert_Einstein_es.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
"Albert,_Prince_Consort_en.wikipedia.org_all-access_all-agents","<ETS(M,N,M)>"
"Albert,_Prince_Consort_en.wikipedia.org_mobile-web_all-agents","<ETS(M,Ad,M)>"
Albus_Dumbledore_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Alec_Baldwin_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Alec_Baldwin_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Alejandro_Magno_es.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Alemania_es.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Alessia_Cara_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Alessia_Cara_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Alex_Jones_(radio_host)_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,N)>"
Alex_Rodriguez_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Alexander_Hamilton_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Alexander_Skarsgård_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,N)>"
Alexander_the_Great_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Alexander_the_Great_en.wikipedia.org_mobile-web_all-agents,"<ETS(A,N,N)>"
Alexandra_Daddario_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,A)>"
Alexandra_Daddario_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
